 Electoral_Area,PD
"088 Balleen, Co. Kilkenny",18.8
"089 Ballyconra, Co. Kilkenny",16.2
"090 Baunmore, Co. Kilkenny",7.8
"091 Clomantagh, Co. Kilkenny",18.1
"092 Galmoy, Co. Kilkenny",12
"093 Glashare, Co. Kilkenny",15.9
"094 Johnstown, Co. Kilkenny",43.3
"095 Lisdowney, Co. Kilkenny",12.4
"096 Rathbeagh, Co. Kilkenny",21.9
"097 Tubbridbrittain, Co. Kilkenny",16.1
"098 Urlingford, Co. Kilkenny",67.7
"099 Aglish, Co. Kilkenny",56.2
"100 Ballincrea, Co. Kilkenny",18.5
"101 Dunkitt, Co. Kilkenny",61.1
"102 Farnoge, Co. Kilkenny",21.9
"103 Kilbeacon, Co. Kilkenny",15.2
"104 Kilbride, Co. Kilkenny",30.1
"105 Kilcolumb, Co. Kilkenny",32.3
"106 Kilculliheen (part), Co. Kilkenny",626.5
"107 Killahy, Co. Kilkenny",34
"108 Kilmakevoge, Co. Kilkenny",33.2
"109 Pollrone, Co. Kilkenny",86.8
"110 Portnascully, Co. Kilkenny",70.7
"111 Rathpatrick, Co. Kilkenny",64.9
"112 Rossinan, Co. Kilkenny",40.7
"113 Ullid, Co. Kilkenny",68
"001 Abbeyleix, Co. Laois",69
"002 Aghmacart, Co. Laois",20
"003 Ballinakill, Co. Laois",42
"004 Ballyroan, Co. Laois",48.2
"005 Blandsfort, Co. Laois",15
"006 Caher, Co. Laois",11.8
"007 Castletown, Co. Laois",32.3
